Albuquerque	40345	10052311.420000007
Anaheim	40086	10076416.35999996
Anchorage	39806	9933500.399999978
Arlington	40348	10072207.969999986
Atlanta	40168	9997146.699999938
Aurora	39808	9992970.920000073
Austin	40332	10057158.899999972
Bakersfield	40326	10031208.919999935
Baltimore	40196	10096521.449999953
Baton Rouge	40387	10131273.230000008
Birmingham	40253	10076606.519999947
Boise	40203	10039166.740000024
Boston	40338	10039473.28000002
Buffalo	40053	10001941.190000014
Chandler	39826	9919559.860000025
Charlotte	40509	10112531.340000007
Chesapeake	40288	10038504.920000054
Chicago	40220	10062522.070000125
Chula Vista	40080	9974951.340000007
Cincinnati	40452	10139505.740000028
Cleveland	40313	10067835.839999946
Colorado Springs	40389	10061105.870000139
Columbus	40225	10035241.030000072
Corpus Christi	39925	9976522.76999998
Dallas	40368	10066548.450000046
Denver	40199	10031534.870000027
Detroit	39999	9979260.760000024
Durham	40501	10153890.209999941
El Paso	39882	10016409.969999993
Fort Wayne	40439	10132594.019999966
Fort Worth	40336	10120830.650000123
Fremont	40219	10053242.360000018
Fresno	40043	9976260.260000102
Garland	40185	10071043.919999972
Gilbert	40277	10062115.190000007
Glendale	40264	10044493.969999945
Greensboro	40232	10033781.390000062
Henderson	40194	10053416.049999975
Hialeah	40312	10047052.759999966
Honolulu	39944	10006273.489999944
Houston	40114	10042106.270000089
Indianapolis	40321	10090272.769999973
Irvine	40325	10084867.449999958
Irving	40352	10133944.080000073
Jacksonville	40400	10072003.329999989
Jersey City	39612	9920141.87000004
Kansas City	39713	9968118.72999997
Laredo	40342	10144604.980000095
Las Vegas	40165	10054257.98000001
Lexington	40343	10084510.949999977
Lincoln	40345	10069485.400000067
Long Beach	39942	10006380.250000015
Los Angeles	40254	10084576.800000027
Louisville	40099	10008566.469999999
Lubbock	39837	9958119.149999982
Madison	40177	10032035.540000023
Memphis	40222	10038565.319999918
Mesa	40207	10053642.600000085
Miami	39935	9947316.06999994
Milwaukee	40316	10064482.650000077
Minneapolis	39991	10011757.779999973
Nashville	39854	9961450.51000005
Newark	40577	10144052.800000094
New Orleans	39914	9949257.749999925
New York	40364	10085293.550000032
Norfolk	40231	10088563.169999996
North Las Vegas	40013	10029652.509999907
Oakland	39728	9947292.519999987
Oklahoma City	40446	10118986.250000022
Omaha	40209	10026642.339999942
Orlando	40195	10074922.519999998
Philadelphia	40748	10190080.260000007
Phoenix	40333	10079076.700000035
Pittsburgh	40358	10090124.82000001
Plano	40170	10046103.609999916
Portland	40065	10007635.770000007
Raleigh	40261	10061442.539999988
Reno	40254	10079955.159999993
Richmond	39983	9992941.589999912
Riverside	39963	10006695.419999916
Rochester	40455	10067606.919999966
Sacramento	40561	10123468.179999856
Saint Paul	40160	10057233.57000002
San Antonio	40197	10014441.699999973
San Bernardino	40041	9965152.039999973
San Diego	39901	9966038.390000023
San Francisco	39983	9995570.540000057
San Jose	39898	9936721.410000017
Santa Ana	40306	10050309.929999962
Scottsdale	40173	10037929.849999957
Seattle	39866	9936267.369999938
Spokane	40222	10083362.98000007
St. Louis	39982	10002105.140000008
Stockton	39996	10006412.639999997
St. Petersburg	40093	9986495.54
Tampa	40136	10106428.550000014
Toledo	40139	10020768.880000027
Tucson	39870	9998252.470000003
Tulsa	40247	10064955.900000045
Virginia Beach	40169	10086553.499999965
Washington	40503	10139363.390000027
Wichita	40422	10083643.20999993
Winston–Salem	40208	10044011.830000013
